Industry,Gender,education_level,avg_salary
"Utilities & Telecommunications",Man,"Master's degree",89000
"Utilities & Telecommunications",Man,"Some college",34066666.67
"Utilities & Telecommunications",Non-binary,"High School",29661
"Utilities & Telecommunications",Woman,"College degree",73704.89
"Utilities & Telecommunications",Woman,"Master's degree",99307.69
"Utilities & Telecommunications",Woman,PhD,161000
"Utilities & Telecommunications",Woman,"Some college",61000
"Veterinary M&A",Woman,"College degree",49000
"Veterinary Medicine",Non-binary,"College degree",34000
"Video Games",Man,"College degree",95000
"Warehounited Statese- Food And Beverage ",Woman,"College degree",47500
"Wealth Advisor Research",Woman,"Master's degree",50000
"Wholesale Trade",Woman,"Master's degree",50000
